flow_id,section,claim_or_required_statement,scope,evidence_tier,status,primary_evidence,display_or_location,allowed_wording,prohibited_extension
F011,Specifications/Data Availability,No persistent dataset DOI is available,access,A,verified absence,"evidence_registry.json; JOURNAL_REQUIREMENTS_SNAPSHOT.md",Specifications Table; Data Availability,"[MATERIAL GAP: repository, exact version, persistent DOI, direct URL, checksums, and access date]","invented DOI; article DOI used as dataset DOI"
F012,Specifications/Data Availability,Dataset licence is recorded as other and requires approval,access,A,verified current state,"hf_dataset_card_metadata.json; hf_remote_snapshot/README.md",Specifications Table; Data Availability,"[MATERIAL GAP: exact dataset licence or component-specific licences]","CC BY or another licence without author/legal confirmation"
F013,Value of the Data,Recording-level metadata and fixed manifests support reproducible filtering and ASR recipe evaluation,release_target,A/B,supported with package-path audit pending,"hf_remote_snapshot/README.md; splits/*.tsv; evidence_registry.json",Value bullet 2; Data Description,"metadata and fixed manifests support reproducible filtering and scoped evaluation","fair model comparison; unbiased evaluation; open-domain utility"
F014,Value of the Data,Explicit synthetic provenance allows filtering synthetic repair rows,release_target,A,verified,"synthetic_data_stats_public.json; hf_public_metadata_schema.md; synthetic_repair_rows_public.csv",Value bullet 3; Table 5,"row-level provenance permits inclusion or exclusion of synthetic repairs","synthetic files are acoustically equivalent to target humans"
F015,Background,The article contribution is data construction description provenance quality evidence and bounded reuse,article,derived synthesis,supported,"EVIDENCE_REGISTRY.md; six review files; JOURNAL_REQUIREMENTS_SNAPSHOT.md",Background closing paragraph,"data construction, package/schema, provenance, diagnostics, technical validation, limitations","model novelty as the article's primary contribution"
F016,Background,Comparable-corpus and Indonesian-resource context requires verified literature,literature,external,"selected contextual sources verified; systematic landscape comparison not performed",Draft_Paper/02_Evidence/VERIFIED_REFERENCES.csv,Background,"citation-supported factual comparisons","first/largest/only; unsupported low-resource or SOTA claims"
F017,Data Description,Private HF staging contains 11 English-category tar shards,HF_private_staging,A,revision-pinned,"hf_dataset_remote_files.json; reports/hf_english_category_rename_20260619.md",Table 1 package inventory,"11 English-category tar shards in private staging","public download availability"
F018,Data Description,"Private HF staging tar shards total 15,623,106,560 bytes",HF_private_staging,A,revision-pinned,"hf_dataset_remote_files.json; evidence_registry.json",Table 1,"15,623,106,560 bytes in the pinned private staging listing","final archive size after any release changes"
F019,Data Description,Each of the 11 categories has 9500 release-target files,release_target,A,verified,"per_category_public.csv; metadata/dataset_metadata.csv",Table 3,"9,500 files per category","equal duration or equal acoustic diversity"
F020,Data Description,Release-target category durations and means are scope-specific,release_target,A,verified,per_category_public.csv,Table 3; Figure 2,"report each category's files, hours, mean duration, and synthetic count from the same artifact","stale means 6.43/5.96/5.58; causal linguistic-complexity conclusions"
F021,Data Description,The release target contains 714 normalized word types,release_target,A,verified count; normalization description pending,dataset_stats_public.json,Data Description; Supplementary Table S2,"714 normalized word types under [documented normalizer]","711 word types; natural-language representativeness inferred from Zipf/Heaps plots"
F022,Data Description,Four categories contain paired partial replacement sentence IDs,release_target,A,verified,"metadata/dataset_metadata.csv; transcript_template_stats.csv; reports/hf_transcript_numbering_note_20260618.md",Table 3 note; Methods,"document the eight non-500 pair counts and preserve IDs","every speaker read every sentence exactly 25 times; renumbered IDs"
F023,Data Description,Original sentence IDs and intentional gaps are preserved,release_target,A,revision-pinned,reports/hf_transcript_numbering_note_20260618.md,Data Description; Methods,"original 01-20 collection IDs are preserved and documented gaps must not be renumbered","gaps are missing uploads without checking inventory"
F024,Data Description,"Release-target train/dev/test counts are 73,150/15,675/15,675",release_target,A,verified,per_split_public.csv,Table 4,"73,150 train; 15,675 development; 15,675 test","benchmark split counts substituted"
F025,Data Description,"Release-target split durations are 94.9437/20.2969/18.9357 h when rounded per split",release_target,A,verified,per_split_public.csv,Table 4,"report raw-second-derived values and total 134.1762 h","sum of rounded cells used to replace authoritative total"
F026,Data Description,"Release-target synthetic split counts are 122/8/2",release_target,A,verified,"per_split_public.csv; synthetic_data_stats_public.json",Table 4; Table 5,"122 train; 8 development; 2 test synthetic files","synthetic audio occurs only in training"
F027,Data Description,"Corrected human public speaker-label assignment is 14/3/3 for train/dev/test",release_target,A,verified,"per_speaker_public.csv; evidence_registry.json",Table 4,"14 train; 3 development; 3 test retained human public labels","verified participant uniqueness; old 11 male/9 female split fields"
F028,Data Description,All natural female-source recordings are in training and no natural female speaker occurs in development/test,release_target,A,verified corrected labels,"per_speaker_public.csv; per_split_public.csv",Table 4; Limitations,"development has 0 female-source files; test has 2 female-source synthetic files and no natural female evaluation speaker","gender-balanced evaluation; gender robustness"
F029,Data Description,Public IDs are pseudonymous and the private crosswalk is excluded,privacy,A,verified package policy,"hf_public_metadata_schema.md; evidence_registry.json; public_artifact_anonymization_cleanup report",Metadata section; Limitations,"pseudonymous public speaker IDs; private crosswalk is not released","anonymous/anonymized voice; no re-identification risk"
F030,Synthetic subset,"132 synthetic files comprise 73 male-source and 59 female-source recordings",release_target,A,verified before author disposition,synthetic_data_stats_public.json,Table 5,"73 Ardi-source and 59 Gadis-source files [voice names only if rights/provenance confirmed]","synthetic speaker genders describe human repair targets"
F031,Synthetic subset,No speaker cloning was used,release_target,A,supported by project provenance; author confirmation advisable,"synthetic_data_stats_public.json; hf_remote_snapshot/README.md",Data Description; Methods,"the documented generation process did not use speaker cloning","zero privacy or misuse risk"
F032,Synthetic subset,Two female-source synthetic recordings target male public label M8,release_target,A,verified unresolved decision,"synthetic_data_stats_public.json; per_speaker_public.csv",Internal Table 5 note; Material Gap,"[MATERIAL GAP: disposition of two female-source/male-target synthetic rows]","silently relabelled as male-source audio; final counts assumed unchanged after remediation"
F033,Data Description/Methods,"1956 rows were blank in the local metadata snapshot at benchmark freeze but zero blanks remain in pinned private HF metadata after repair",scope_bridge,A,revision-pinned with repair-method gap,"metadata/dataset_metadata.csv; reports/hf_transcript_cleanup_execution_20260618.md; hf_dataset_remote_info.json",Table 2; Methods,"1,956 blank transcript fields before transcript repair; zero at the pinned repaired revision; audio shards unchanged","the benchmark contains repaired rows; transcript correctness is fully validated"
F034,Data Description/Methods,The repair did not change audio shards,scope_bridge,A,revision-pinned,reports/hf_transcript_cleanup_execution_20260618.md,Table 2 note; Methods,"metadata was repaired without changing the audio shards","audio and transcript were jointly recollected"
F035,Sampled diagnostics,Acoustic diagnostics were computed for 297 sampled rows,sample,C,verified sample count; sampling design pending,"dataset_stats_public.json; audio_quality_sample_public.csv",Figure 4; Technical Validation,"297 sampled files","stratified sample before frame/allocation/seed are attached; corpus-wide audit"
F036,Sampled diagnostics,Diagnostics comprise dynamic range silence ratio and spectral centroid,sample,C,verified,"audio_quality_sample_public.csv; evidence_registry.json",Figure 4; Technical Validation,"dynamic range, silence ratio, and spectral centroid","SNR, clipping, reverberation, transcript accuracy, or overall quality established"
F037,Methods,Recruitment consent room equipment software distance and detailed recording protocol require primary confirmation,collection,E/material gaps,material gap,"Draft_Paper/02_Evidence/EVIDENCE_REGISTRY.md; source DOCX extraction",Methods,"retain [MATERIAL GAP: participant recruitment and inclusion/exclusion]; [MATERIAL GAP: recording dates and session protocol]; [MATERIAL GAP: verified room dimensions and treatment]; [MATERIAL GAP: verified microphone, interface, operating system, and recording software/version]; and [MATERIAL GAP: microphone distance, gain/calibration, monitoring, and prompt presentation], or omit the unverified field","harmonized age/room/equipment values guessed from conflicting drafts"
F038,Methods,Transcript validation requires algorithm normalization hashes manifest and audio-text audit,transcripts,A/material gap,material gap,"reports/hf_transcript_cleanup_execution_20260618.md; consolidated review",Methods; Technical Validation,"normalized reference transcripts; post-freeze repair described with available evidence","validated transcripts until the audit is evidenced"
F039,Methods,Split generation requires algorithm candidate order library version and manifests,splits,B,partly verified; generation protocol gap,"splits/train_clean.tsv; splits/dev_clean.tsv; splits/test_clean.tsv; split_summary.json",Methods,"fixed manifests and seed 42; [MATERIAL GAP: split-generation algorithm, candidate order, library/version, and exact assignments]","seed alone establishes full reproducibility"
F040,Technical Validation,"Frozen benchmark has 102,544 files and 130.6548 h",benchmark,B,verified,"metadata/dataset_metadata_clean.csv; reports/dataset_statistics_v7_paper9/stats/dataset_stats.json",Table 2; Supplementary Table S6,"102,544 files; 130.6548 h","release-target totals"
F041,Technical Validation,"Frozen benchmark split counts are 71,792/15,376/15,376",benchmark,B,verified,"dataset_stats.json; split manifests",Table 2; Supplementary Table S6 caption,"71,792 train; 15,376 development; 15,376 test","release-target split counts"
F042,Technical Validation,"Frozen benchmark contains 209 distinct (category, sentence_id) pairs",benchmark,B,verified,"metadata/dataset_metadata_clean.csv; evidence_registry.json",Table 2,"209 distinct (category, sentence_id) pairs","209 release-target pairs; 209 unique transcript texts without audit"
F043,Technical Validation,"The 15,376-item test set contains 15,374 human recordings and 2 synthetic repairs",benchmark,B,verified,"dataset_stats.json; synthetic_data_stats_public.json; benchmark.json",Supplementary Table S6 caption; Limitations,"15,376 items: 15,374 human + 2 synthetic","15,376 held-out-speaker human utterances"
F044,Technical Validation,Human public speaker labels are partition-disjoint,benchmark,B,verified manifests,"split manifests; dataset_stats.json",Methods; Supplementary Table S6 caption,"human public speaker labels are disjoint across partitions","verified participant uniqueness; TTS voice identities are disjoint; demographic balance"
F045,Technical Validation,Development/test scripts are represented in training and 206 test templates are represented in training,benchmark,B,registry-backed; audit attachment required,"split manifests; [attach exact template-overlap audit]",Technical Validation; Limitations,"seen-script held-out-human-speaker benchmark after audit attachment","unseen-text; open-vocabulary; open-domain"
F046,Technical Validation,Under the uniform project normalizer existing Whisper-small FT predictions rescore to WER/CER 0.001861512/0.001401444,benchmark,B,verified uniform diagnostic rescore,Draft_Paper/02_Evidence/unified_benchmark_rescore/unified_nine_model_metrics.json,Supplementary Table S6,"0.186% WER and 0.140% CER with declared rounding and uniform-rescore wording","run-native 0.852% presented as comparable; external Indonesian SOTA; open-domain accuracy"
F047,Technical Validation,Under the uniform project normalizer existing ViT-modified-ID predictions rescore to WER/CER 0.017614468/0.012979008 with 4353248 parameters,benchmark,B,verified uniform diagnostic rescore,Draft_Paper/02_Evidence/unified_benchmark_rescore/unified_nine_model_metrics.json,Supplementary Table S6,"1.761% WER; 1.298% CER; 4,353,248 parameters with declared rounding and uniform-rescore wording","run-native values presented as comparable; model superiority; fair efficiency ranking"
F048,Technical Validation,Historical run-native nine-model rankings used non-identical reference normalizations and denominators; Supplementary Table S6 uses a uniform diagnostic rescore,benchmark,B,verified comparability defect and corrective rescore,"unified_nine_model_metrics.json; prediction CSV hashes; benchmark.json retained as provenance",Technical Validation; Supplementary Table S6 note,"uniform diagnostic rescore of existing predictions; no performance rank; recipes remain heterogeneous; timing is provenance only","historical run-native rank; controlled architecture comparison; hardware-normalized speed ranking"
F049,Technical Validation,The L4 one-epoch run is an execution smoke test only,smoke,B,verified,"reports/colab_cli_m12_vit_modified_1epoch_20260619.md; colab_cli_summary.json",Supplementary Methods only,"256/64-sample one-epoch execution smoke test","reproduction of full-run WER or full training time"
F050,Limitations,No field accuracy is established,deployment,D,must not claim,"deploy_dual_model_web/ANALYSIS_LIVE_OOD_20260714.md; evidence_registry.json",Limitations/future work at most,"deployment diagnostics motivate future evaluation","field accuracy; corpus accuracy; Whisper-derived ground truth"
F051,Limitations,Voice remains biometrically identifiable despite pseudonymous labels,privacy,A/ethics,verified principle; consent gap,"privacy review; evidence_registry.json",Limitations; Ethics,"residual recognition and linkage risk remains","fully anonymous data"
F052,Ethics,Committee decision reference date and public voice-release consent scope are unverified,ethics,author-owned,material gap,EVIDENCE_REGISTRY.md,Ethics Statement,"[MATERIAL GAP: ethics committee/determination, reference number, and date]; [MATERIAL GAP: informed-consent procedure and exact public voice-release/reuse scope]","generic or invented approval/consent statement"
F053,Data Availability,Public or approved controlled access must be resolved before submission,access,official policy/material gap,material gap,"JOURNAL_REQUIREMENTS_SNAPSHOT.md; EVIDENCE_REGISTRY.md",Data Availability,"[MATERIAL GAP: approved controlled-access mechanism, if applicable]","private staging presented as journal-compliant availability"
F054,Declarations,"Corresponding author CRediT funding competing interests acknowledgements and GenAI determination require author approval",article,author-owned,material gap,"EVIDENCE_REGISTRY.md; JOURNAL_REQUIREMENTS_SNAPSHOT.md",End matter,"retain the applicable exact tokens: [MATERIAL GAP: corresponding author name and current email]; [MATERIAL GAP: CRediT roles approved by every author]; [MATERIAL GAP: funding and sponsor role]; [MATERIAL GAP: competing-interest declaration approved by every author]; [MATERIAL GAP: acknowledgements]; [MATERIAL GAP: GenAI manuscript-preparation determination and declaration]","boilerplate assumed true"
F055,References,Every citation must be source-verified and support the adjacent claim,literature,external,"16 manuscript references verified; final dataset citation and any added sources pending",Draft_Paper/02_Evidence/VERIFIED_REFERENCES.csv,References and citation audit,"numbered Elsevier-style verified references","fabricated DOI; unverified first/largest/SOTA claim"
F056,Methods,"Balanced-build source audit found 110,000 source WAV files across 5,500 take directories",balanced_v3,A,observed executable/build-report evidence,"process_paper_dataset_sota.py; Processed_Balanced19_v3/FINAL_RESUME.md",Methods 4.2,"110,000 source WAV files across 5,500 take directories","a contemporaneous recording-session protocol"
F057,Methods,"Balanced V3 deterministically omitted 5,500 files and copied 104,500 with two-digit sentence filenames",balanced_v3,A,observed executable/build-report evidence,"process_paper_dataset_sota.py; Processed_Balanced19_v3/FINAL_RESUME.md",Methods 4.2,"5,500 omitted by inventory design; 104,500 copied and structurally verified","proof of pronunciation transcript alignment or acoustic quality"
F058,Methods,"Source text and diagrams disagree on exact room dimensions",collection,E/conflict,conflicted,"Draft_Paper/01_Extraction/manuscript_text.md; media/image14.png; media/image15.png",Methods 4.3,"text reports 1 × 1 × 2.5 m; diagrams show approximately 1.5037 m × 2.5027 m and 2.5027 m height; omit pending primary record","silently selected or averaged room dimensions"
F059,Methods,"BOYA BY-MM1+ Audacity 3.7.4 Windows 10 and 5-10 cm are source-draft assertions",collection,E/assertion,primary verification missing,"Draft_Paper/01_Extraction/manuscript_text.md; tables/table_01.csv",Methods 4.3,"the source author draft reports these candidate acquisition details","verified equipment chain calibration or session-wide consistency"
F060,Methods,"Source draft reports both participant age 25-38 and 22-38",participants,E/conflict,conflicted,Draft_Paper/01_Extraction/manuscript_text.md,Methods 4.1,"age omitted pending primary evidence and privacy approval","harmonized age range"
F061,Methods,"The 11 × 20 × 25 × 20 source layout is strongly reconstructable but does not define a take or prove universal completion",collection,B,inferred,"process_paper_dataset_sota.py; Processed_Balanced19_v3/FINAL_RESUME.md",Methods 4.4,"audited source-tree organization","every speaker followed a controlled 25-repetition protocol"
F062,Methods,"The 297-row diagnostic has 27 rows per category but lacks selection provenance",sample,C,observed rows; design missing,"audio_quality_sample_public.csv; METHODS_EVIDENCE_MATRIX.csv",Methods 4.6; Technical Validation 5.1,"297 sampled files; 27 rows/category observed","stratified random or corpus-representative sample"
F063,Methods,"Internal metadata schema exists but its current technical-field builder was not located",metadata,E/material gap,missing,"metadata/dataset_metadata_clean.csv; METHODS_EVIDENCE_MATRIX.csv",Methods 4.9,"metadata records the fields; generation tool/version pending","independently reproducible metadata extraction"
F064,Methods,"Every proposed method fact is classified as OBSERVED INFERRED CONFLICTED or MISSING",article,A/internal control,verified,Draft_Paper/02_Evidence/METHODS_EVIDENCE_MATRIX.csv,Methods opening,"evidence-status classification with line-cited provenance","author-draft assertion treated as event verification"
F065,Technical Validation,"Full nine-model table is supplementary by default until complete method cards and sensitivity/uncertainty gates close",benchmark,editorial control,approved internal decision,"data-article-structure-methods-review.md; 02_DISPLAY_AND_SUPPLEMENT_PLAN.md",Methods 4.12; Technical Validation 5.2,"subordinate utility demonstration; all nine rows together if promoted","model-paper framing or cherry-picked rows"
F066,Journal fit,"Current Data in Brief findings from the latest web review are search-snippet-only and require live pre-submission recheck",journal,external limitation,limited,"Draft_Paper/02_Evidence/CURRENT_DIB_SPEECH_METHODS_EXPECTATIONS.md; JOURNAL_REQUIREMENTS_SNAPSHOT.md",Internal controls,"snippet-only evidence with retrieval limitation disclosed","claim of full-page policy verification from the failed retrieval path"
